biochemical name parameter_nonnum_10-heptadecenoate (17,biochemical name parameter_nonnum_10-nonadecenoate (19,biochemical name parameter_nonnum_4-hydroxyglutamate,biochemical name parameter_nonnum_5-oxoproline,biochemical name parameter_nonnum_adrenate (22,biochemical name parameter_nonnum_arachidonate (20,biochemical name parameter_nonnum_cis-vaccenate (18,biochemical name parameter_nonnum_cystathionine,biochemical name parameter_nonnum_cysteine,biochemical name parameter_nonnum_cysteine-glutathione disulfide,biochemical name parameter_nonnum_cystine,biochemical name parameter_nonnum_dihomo-linoleate (20,biochemical name parameter_nonnum_dihomo-linolenate (20,biochemical name parameter_nonnum_docosahexaenoate (dha; 22,biochemical name parameter_nonnum_docosapentaenoate (n3 dpa; 22,biochemical name parameter_nonnum_docosapentaenoate (n6 dpa; 22,biochemical name parameter_nonnum_eicosenoate (20,biochemical name parameter_nonnum_elcosapentaenoate (epa; 20,biochemical name parameter_nonnum_erucate (22,biochemical name parameter_nonnum_gamma-aminobutyrate ,biochemical name parameter_nonnum_gamma-glutamylalanine,biochemical name parameter_nonnum_gamma-glutamylglutamate,biochemical name parameter_nonnum_gamma-glutamylglutamine,biochemical name parameter_nonnum_gamma-glutamylleucine,biochemical name parameter_nonnum_gamma-glutamylvaline,biochemical name parameter_nonnum_glutamate,biochemical name parameter_nonnum_glutamine,"biochemical name parameter_nonnum_glutathione, reduced",biochemical name parameter_nonnum_glycine,biochemical name parameter_nonnum_hypotaurine,biochemical name parameter_nonnum_lignocerate (24,biochemical name parameter_nonnum_linoleate (18,biochemical name parameter_nonnum_linolenate [alpha or gamma; (18,biochemical name parameter_nonnum_mead acid (20,biochemical name parameter_nonnum_methionine,biochemical name parameter_nonnum_myristate (14,biochemical name parameter_nonnum_myristoleate (14,biochemical name parameter_nonnum_n-acetylmethionine,biochemical name parameter_nonnum_nervonate (24,biochemical name parameter_nonnum_oleate (18,biochemical name parameter_nonnum_palmitate (16,biochemical name parameter_nonnum_palmitoleate (16,biochemical name parameter_nonnum_s-adenosylhomocysteine,biochemical name parameter_nonnum_s-methylcysteine,biochemical name parameter_nonnum_s-methylglutathione,biochemical name parameter_nonnum_stearate (18,OuterDiameterValue,OuterDiameterLow,OuterDiameterHigh,SurfaceAreaValue,Purity,particle concentration parameter_value,expression levels result_value
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,36.0,97.0,22.2,99.9,30.0,1.67
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,36.0,97.0,22.2,99.9,30.0,1.43
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,36.0,97.0,22.2,99.9,30.0,1.22
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,36.0,97.0,22.2,99.9,30.0,0.85
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,36.0,97.0,22.2,99.9,30.0,1.78
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,36.0,97.0,22.2,99.9,30.0,1.26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,36.0,97.0,22.2,99.9,30.0,1.18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,36.0,97.0,22.2,99.9,30.0,0.93
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,36.0,97.0,22.2,99.9,30.0,1.77
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,59.0,36.0,97.0,22.2,99.9,30.0,1.29
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,59.0,36.0,97.0,22.2,99.9,30.0,1.2
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,36.0,97.0,22.2,99.9,30.0,1.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59.0,36.0,97.0,22.2,99.9,30.0,1.64
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,36.0,97.0,22.2,99.9,30.0,1.49
