CoreComposition_cerium(iv) oxide,CoreComposition_copper(i) oxide,CoreComposition_copper(ii) oxide,CoreComposition_no material,CoreComposition_silver,CoreComposition_silver nitrate,CoreComposition_titanium dioxide,CoreComposition_zinc oxide,CoatingComposition_aluminum hydroxide,CoatingComposition_citrate,CoatingComposition_missing,CoatingComposition_polyvinylpyrrolidone,Shape_amorphous,Shape_missing,Shape_spherical,SurfaceChargeType_missing,SurfaceChargeType_zeta potential,cell type parameter_nonnum_arpe-19,cell type parameter_nonnum_e6-1,cell type parameter_nonnum_hepg2,cell type parameter_nonnum_iec-6,cell type parameter_nonnum_missing,cell type parameter_nonnum_smi-100,subject parameter_nonnum_beas-2b,subject parameter_nonnum_missing,light parameter_nonnum_dark,light parameter_nonnum_missing,light parameter_nonnum_ultraviolet,OuterDiameterValue,OuterDiameterLow,OuterDiameterHigh,SurfaceAreaValue,Purity,HydrodynamicDiameterValue,ChargeAvg,particle concentration parameter_value,duration incubation parameter_value,duration exposure parameter_value,duration aging parameter_value,duration irradiation parameter_value,temperature parameter_value,irradiance parameter_value,irradiation power parameter_value,number of cells parameter_value,concentration carbon dioxide parameter_value,concentration zinc parameter_value,concentration copper parameter_value,fetal bovine serum additive_value,phosphate buffer additive_value,sodium chloride additive_value,glucose additive_value,gentamicin additive_value,penicillin additive_value,l-glutamine additive_value,penicillin / streptomycin additive_value,sodium pyruvate additive_value,amphotericin b additive_value,streptomycin additive_value,sodium bicarbonate additive_value,potassium bisulfate additive_value,side scatter result_value,forward scatter result_value,mitosox fluorescence result_value,viability result_value
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,24.574766656082918,295.6375827884155,49.8,97.7,66.19,14.2,0.0,4.006808217570445,69.99074844689288,1.2809396466926661,0.5291372330325841,37.00055063894467,7.8715914689532465,0.004945752021239258,500000.00673335884,5.0090703334923345,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.903586047877201,1.23,2.258558171989893,99.94
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,9.768249302052382,13.0,49.8,97.7,66.19,14.2,0.3,4.026478961899729,37.38444969082588,1.2403437117965463,1.1769367561148005,37.00846503501134,8.166710507894399,0.6209766813376651,500000.00767291355,5.018121833484822,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.652392982874693,1.23,1.8822479641173582,99.78
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,53.69076936027048,35.10734152730707,49.8,97.7,66.19,14.2,1.0,4.007641708935451,43.01945368721039,5.47715541691792,0.19533721686072236,37.01154205113067,7.905448860898637,2.8830248593177648,500000.0008980094,5.012188494464349,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.208277745614943,1.1297823319995803,2.1362463275082293,99.74
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,10.763943516733114,13.0,49.8,97.7,66.19,14.2,3.0,4.012720800090554,34.09323481864986,3.0481923470216135,1.3973692173510444,37.000529584164816,8.019208452609833,1.9915475174861166,500000.01000057574,5.00719769633485,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.271233601338697,1.23,1.6993185643748965,99.54
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,6.107579576815382,13.0,49.8,97.7,66.19,14.2,10.0,4.011749189023528,5.305569482516219,0.1736274573211194,0.575381315892701,37.000974956332676,8.246024910898143,0.6018593188797124,500000.0045765523,5.01637119660612,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.260137122244667,1.23,2.037594103189764,99.29
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,39.1673068652229,239.88986624671458,49.8,97.7,66.19,14.2,30.0,4.001907038170155,57.88632306210004,9.133691514656281,1.0219008808531778,37.010383187245814,8.238831814021134,2.6728791929062106,500000.0014708601,5.017356596103052,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.596399229738655,0.82,2.915520103778766,95.45
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,5.0,13.0,49.8,97.7,66.19,14.2,100.0,4.009924378080438,54.473944012651444,3.740292001629863,1.5757974642031436,37.00259083823271,7.81256871053692,3.7,500000.00027543725,5.00928777964964,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.216843956202927,0.82,2.229801296467778,80.44
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,22.0,30.81459721515844,141.35385415159135,49.8,97.7,66.19,14.2,0.0,4.004223582798896,67.9305609590828,8.332567991867837,2.0,37.01008871082225,7.5,3.7,500000.0047689879,5.010671487521712,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0748789679262636,1.23,1.324618812226809,99.22
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,22.0,56.71499080693159,323.43819378015445,49.8,97.7,66.19,14.2,0.3,4.0007317989835975,10.782109745082524,6.872483365988911,2.0,37.00732399852356,7.5,3.7,500000.0010079597,5.004298340106906,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.153138758140496,1.23,2.8078648355447946,99.27
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,22.0,41.20401905315,291.0675769832258,49.8,97.7,66.19,14.2,1.0,4.008414465040825,20.765274105350713,9.933354011112547,2.0,37.00388995271044,7.5,3.7,500000.00761698687,5.011207645916031,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.2791339413950746,1.23,2.920598143587255,99.44
